"nemotecnico","run","clase"
"CFMSTDACU2","8488","RV Nacional"
"CFMSTDACU3","8488","RV Nacional"
"CFMSTDACUG","8488","RV Nacional"
"CFMSTDACUI","8488","RV Nacional"
"CFMSTDAEAM","9254","RV Nacional"
"CFMSTDAEQE","9646","Balanceados Nacional"
"CFMSTDAEU3","9254","RV Nacional"
"CFMSTDAEUG","9254","RV Nacional"
"CFMSTDAGAM","8058","RV Nacional"
"CFMSTDAGD2","8090","RV Nacional"
"CFMSTDAGDA","8090","RV Nacional"
"CFMSTDAGDI","8090","RV Nacional"
"CFMSTDAGEA","8058","RV Nacional"
"CFMSTDAGEE","8058","RV Nacional"
"CFMSTDAGEI","8058","RV Nacional"
"CFMSTDAGEU","8058","RV Nacional"
"CFMSTDAGLD","8090","RV Nacional"
"CFMSTDAGLE","8090","RV Nacional"
"CFMSTDAGLG","8090","RV Nacional"
"CFMSTDAGLI","8090","RV Nacional"
"CFMSTDALAM","8160","RV Nacional"
"CFMSTDAMAM","9222","RF Nacional"
"CFMSTDAMDI","9222","RF Nacional"
"CFMSTDAMPE","9222","RF Nacional"
"CFMSTDAMPG","9222","RF Nacional"
"CFMSTDAMPI","9222","RF Nacional"
"CFMSTDAMPU","9222","RF Nacional"
"CFMSTDAPRE","9649","Balanceados Nacional"
"CFMSTDAPRP","9649","Balanceados Nacional"
"CFMSTDASC3","8372","RV Nacional"
"CFMSTDASEP","8372","RV Nacional"
"CFMSTDASEV","8372","RV Nacional"
"CFMSTDAUSE","8488","RV Nacional"
"CFMSTDAUSI","8488","RV Nacional"
"CFMSTDAUSU","8488","RV Nacional"
"CFMSTDBAGE","8908","Balanceados Nacional"
"CFMSTDBCOE","8910","Balanceados Nacional"
"CFMSTDBLHA","8287","RF Nacional"
"CFMSTDBLHB","8287","RF Nacional"
"CFMSTDBLHC","8287","RF Nacional"
"CFMSTDBLHF","8287","RF Nacional"
"CFMSTDBMOE","8911","Balanceados Nacional"
"CFMSTDBNA3","8287","RF Nacional"
"CFMSTDBNAG","8287","RF Nacional"
"CFMSTDBNCO","8287","RF Nacional"
"CFMSTDCPLE","8615","RF Nacional"
"CFMSTDCPLN","8615","RF Nacional"
"CFMSTDCPLR","8615","RF Nacional"
"CFMSTDDDAM","9490","RF Nacional"
"CFMSTDDDEJ","9490","RF Nacional"
"CFMSTDDDIN","9490","RF Nacional"
"CFMSTDDDUN","9490","RF Nacional"
"CFMSTDDLA3","8906","RF Nacional"
"CFMSTDDLAG","8906","RF Nacional"
"CFMSTDDLEJ","9352","RF Nacional"
"CFMSTDDLIN","9352","RF Nacional"
"CFMSTDDLUN","9352","RF Nacional"
"CFMSTDEAPA","8387","Balanceados Nacional"
"CFMSTDGAAE","9648","Balanceados Nacional"
"CFMSTDGAAP","9648","Balanceados Nacional"
"CFMSTDGADI","9648","Balanceados Nacional"
"CFMSTDGAPG","9649","Balanceados Nacional"
"CFMSTDGDAM","8090","RV Nacional"
"CFMSTDGDOU","8090","RV Nacional"
"CFMSTDGEAP","9646","Balanceados Nacional"
"CFMSTDGEDI","9646","Balanceados Nacional"
"CFMSTDGEM2","8058","RV Nacional"
"CFMSTDGEM3","8058","RV Nacional"
"CFMSTDGEMG","8058","RV Nacional"
"CFMSTDGEMI","8058","RV Nacional"
"CFMSTDGPDI","9649","Balanceados Nacional"
"CFMSTDGPRB","8387","Balanceados Nacional"
"CFMSTDGPRR","8387","Balanceados Nacional"
"CFMSTDGPRU","8387","Balanceados Nacional"
"CFMSTDHDPB","8077","RF Nacional"
"CFMSTDHDPC","8077","RF Nacional"
"CFMSTDHDPS","8077","RF Nacional"
"CFMSTDLACC","8160","RV Nacional"
"CFMSTDLATB","8160","RV Nacional"
"CFMSTDLATC","8160","RV Nacional"
"CFMSTDLPAM","8082","RF Nacional"
"CFMSTDMDAL","8230","RF Nacional"
"CFMSTDMMAM","8057","RF Nacional"
"CFMSTDMMCO","8057","RF Nacional"
"CFMSTDMMDA","8230","RF Nacional"
"CFMSTDMMKB","8057","RF Nacional"
"CFMSTDMMKC","8057","RF Nacional"
"CFMSTDMMKG","8057","RF Nacional"
"CFMSTDMMKT","8057","RF Nacional"
"CFMSTDMOMP","8057","RF Nacional"
"CFMSTDPBAG","8908","Balanceados Nacional"
"CFMSTDPBCG","8910","Balanceados Nacional"
"CFMSTDPBMG","8911","Balanceados Nacional"
"CFMSTDPKAA","8908","Balanceados Nacional"
"CFMSTDPKCA","8910","Balanceados Nacional"
"CFMSTDPKMA","8911","Balanceados Nacional"
"CFMSTDRALC","8906","RF Nacional"
"CFMSTDRCDI","8615","RF Nacional"
"CFMSTDRCPG","8615","RF Nacional"
"CFMSTDRLA3","8082","RF Nacional"
"CFMSTDRLAG","8082","RF Nacional"
"CFMSTDRLAI","8082","RF Nacional"
"CFMSTDRLPE","8082","RF Nacional"
"CFMSTDRLU2","8077","RF Nacional"
"CFMSTDRLU3","8077","RF Nacional"
"CFMSTDRLUG","8077","RF Nacional"
"CFMSTDRLUI","8077","RF Nacional"
"CFMSTDRMAM","8280","RF Nacional"
"CFMSTDRMCO","8280","RF Nacional"
"CFMSTDRMEE","8280","RF Nacional"
"CFMSTDRMEG","8280","RF Nacional"
"CFMSTDRSAM","9034","RF Nacional"
"CFMSTDRSCO","9034","RF Nacional"
"CFMSTDRSE3","9034","RF Nacional"
"CFMSTDRSEG","9034","RF Nacional"
"CFMSTDRSGL","9034","RF Nacional"
"CFMSTDRSPA","9034","RF Nacional"
"CFMSTDRTBL","8082","RF Nacional"
"CFMSTDRUAM","8077","RF Nacional"
"CFMSTDRUCO","8077","RF Nacional"
"CFMSTDSADR","8082","RF Nacional"
"CFMSTDSARE","8906","RF Nacional"
"CFMSTDSARI","8906","RF Nacional"
"CFMSTDSARR","8906","RF Nacional"
"CFMSTDSESR","8280","RF Nacional"
"CFMSTDSTE2","8387","Balanceados Nacional"
"CFMSTDSTE3","8387","Balanceados Nacional"
"CFMSTDSUIN","8280","RF Nacional"
"CFMSTDTSAM","8209","RF Nacional"
"CFMSTDTSRA","8209","RF Nacional"
"CFMSTDTSRC","8209","RF Nacional"
"CFMSTDTSRI","8209","RF Nacional"
"CFMSTDUSAA","8488","RV Nacional"
"CFMSTDUSAP","8488","RV Nacional"
"CFMSURAEMA","8916","RV Nacional"
"CFMSURAEMC","8916","RV Nacional"
"CFMSURAEMF","8916","RV Nacional"
"CFMSURAEMH","8916","RV Nacional"
"CFMSURAEMI","8916","RV Nacional"
"CFMSURAEMS","8916","RV Nacional"
"CFMSURAMAA","9473","Balanceados Nacional"
"CFMSURAMAC","9473","Balanceados Nacional"
"CFMSURAMAF","9473","Balanceados Nacional"
"CFMSURAMAH","9473","Balanceados Nacional"
"CFMSURAMAI","9473","Balanceados Nacional"
"CFMSURAMMA","9474","Balanceados Nacional"
"CFMSURAMMC","9474","Balanceados Nacional"
"CFMSURAMMF","9474","Balanceados Nacional"
"CFMSURAMMH","9474","Balanceados Nacional"
"CFMSURAMMI","9474","Balanceados Nacional"
"CFMSURARBS","8676","RF Nacional"
"CFMSURAUSA","8915","RV Nacional"
"CFMSURAUSC","8915","RV Nacional"
"CFMSURAUSF","8915","RV Nacional"
"CFMSURAUSH","8915","RV Nacional"
"CFMSURAUSI","8915","RV Nacional"
"CFMSURAUSS","8915","RV Nacional"
"CFMSURCLPA","8956","RF Nacional"
"CFMSURCLPC","8956","RF Nacional"
"CFMSURCLPF","8956","RF Nacional"
"CFMSURCLPH","8956","RF Nacional"
"CFMSURCLPI","8956","RF Nacional"
"CFMSURCPLA","9106","RF Nacional"
"CFMSURCPLC","9106","RF Nacional"
"CFMSURCPLF","9106","RF Nacional"
"CFMSURCPLH","9106","RF Nacional"
"CFMSURCPLI","9106","RF Nacional"
"CFMSURECOA","8773","Balanceados Nacional"
"CFMSURECOC","8773","Balanceados Nacional"
"CFMSURECOF","8773","Balanceados Nacional"
"CFMSURECOH","8773","Balanceados Nacional"
"CFMSURECOI","8773","Balanceados Nacional"
"CFMSURRBCA","8676","RF Nacional"
"CFMSURRBCC","8676","RF Nacional"
"CFMSURRBCF","8676","RF Nacional"
"CFMSURRBCH","8676","RF Nacional"
"CFMSURRBCI","8676","RF Nacional"
"CFMSURRCPS","9106","RF Nacional"
"CFMSURRDCA","8678","RF Nacional"
"CFMSURRDCC","8678","RF Nacional"
"CFMSURRDCF","8678","RF Nacional"
"CFMSURRDCH","8678","RF Nacional"
"CFMSURRDCI","8678","RF Nacional"
"CFMSURRDCS","8678","RF Nacional"
"CFMSURRLOA","9084","RF Nacional"
"CFMSURRLOC","9084","RF Nacional"
"CFMSURRLOF","9084","RF Nacional"
"CFMSURRLOH","9084","RF Nacional"
"CFMSURRLOI","9084","RF Nacional"
"CFMSURRLUS","9084","RF Nacional"
"CFMSURRVAS","8956","RF Nacional"
"CFMSURSALA","8684","RV Nacional"
"CFMSURSALC","8684","RV Nacional"
"CFMSURSALF","8684","RV Nacional"
"CFMSURSALH","8684","RV Nacional"
"CFMSURSALI","8684","RV Nacional"
"CFMSURSALS","8684","RV Nacional"
"CFMSURSCCA","8685","RV Nacional"
"CFMSURSCCC","8685","RV Nacional"
"CFMSURSCCF","8685","RV Nacional"
"CFMSURSCCH","8685","RV Nacional"
"CFMSURSCCI","8685","RV Nacional"
"CFMSURSCCS","8685","RV Nacional"
"CFMSURSGLA","8707","RV Nacional"
"CFMSURSGLC","8707","RV Nacional"
"CFMSURSGLF","8707","RV Nacional"
"CFMSURSGLH","8707","RV Nacional"
"CFMSURSGLI","8707","RV Nacional"
"CFMTOEEQUB","9414","RV Nacional"
"CFMTOEEQUI","9414","RV Nacional"
"CFMZCDOCUI","8629","RF Nacional"
"CFMZCELCUI","9625","RV Nacional"
"CFMZCHACCR","8381","RV Nacional"
"CFMZCHESGD","9625","RV Nacional"
"CFMZCHEURE","8456","RV Nacional"
"CFMZCHMMTE","8459","RF Nacional"
"CFMZCHPATZ","8346","RF Nacional"
"CFMZCHRNOE","8411","RF Nacional"
"CFMZCHRPLE","8363","RF Nacional"
"CFMZCHUSAE","8458","RV Nacional"
"CFMZCHYD-E","8946","RF Nacional"
"CFMZCPMCUI","8346","RF Nacional"
"CFMZCSGCUI","8621","RV Nacional"
"CFMZESDA-E","8946","RF Nacional"
"CFMZEXPA-E","8455","RF Nacional"
"CFMZEXPD-E","8455","RF Nacional"
"CFMZEXPE-E","8455","RF Nacional"
"CFMZURREFE","8853","RF Nacional"
"CFMZURSALA","8621","RV Nacional"
"CFMZURSALZ","8621","RV Nacional"
"CFMZURZIOA","8346","RF Nacional"
"CFMZURZIOD","8346","RF Nacional"
"CMFIMTDEUM","9056","RF Nacional"
"COPX",NA,"RV Internacional"
"DNCA",NA,"RF Internacional"
"EEM",NA,"RV Internacional"
"GDX",NA,"RV Internacional"
"IWM",NA,"RV Internacional"
"USTREA0215",NA,"RF Internacional"
"VONTOBEL CREDIT OPPO",NA,"RF Internacional"
"CFIFYNDEPA",,"Alternativos Nacional"
