"RUT","Nemotecnico","Nombre","Tipo.de.Activo","Tipo de Activo"
"10020","CFMITACTIT","FONDO MUTUO ITAU CARTERA RESERVA","Sin clasificación",NA
"9248","CFMITADCIT","FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE","Renta Fija",NA
"9248","CFMITADCCU","FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE","Renta Fija",NA
"9248","CFMITADCCI","FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE","Renta Fija",NA
"9248","CFMITADCAP","FONDO MUTUO ITAU DEUDA CORPORATIVA CHILE","Renta Fija",NA
"8620","CFMITAMPIT","FONDO MUTUO ITAU DEUDA NOMINAL","Renta Fija",NA
"8620","CFMCORMPF5","FONDO MUTUO ITAU DEUDA NOMINAL","Renta Fija",NA
"8620","CFMCORMPF4","FONDO MUTUO ITAU DEUDA NOMINAL","Renta Fija",NA
"8620","CFMCORMIOV","FONDO MUTUO ITAU DEUDA NOMINAL","Renta Fija",NA
"8959","CFMITAFDF2","FONDO MUTUO ITAU DINAMICO","Renta Fija",NA
"8959","CFMITAFDF5","FONDO MUTUO ITAU DINAMICO","Renta Fija",NA
"8959","CFMITAFD4F","FONDO MUTUO ITAU DINAMICO","Renta Fija",NA
"8959","CFMITAFDIT","FONDO MUTUO ITAU DINAMICO","Renta Fija",NA
"8959","CFMITAFDIS","FONDO MUTUO ITAU DINAMICO","Renta Fija",NA
"9717","CFMITADP2F","FONDO MUTUO ITAU DINAMICO PLUS","Renta Fija",NA
"9717","CFMITADP5F","FONDO MUTUO ITAU DINAMICO PLUS","Renta Fija",NA
"9717","CFMITADPIT","FONDO MUTUO ITAU DINAMICO PLUS","Renta Fija",NA
"9717","CFMITADPF4","FONDO MUTUO ITAU DINAMICO PLUS","Renta Fija",NA
"8979","CFMITALPF1","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPAS","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPF2","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPF4","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPF3","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPF5","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"8979","CFMITALPIT","FONDO MUTUO ITAU DINÁMICO ULTRA","Renta Variable",NA
"9988","CFMITAGLF1","FONDO MUTUO ITAU ESG GLOBAL CREDITS","Sin clasificación",NA
"9988","CFMITAGLF2","FONDO MUTUO ITAU ESG GLOBAL CREDITS","Sin clasificación",NA
"9988","CFMITAGLF3","FONDO MUTUO ITAU ESG GLOBAL CREDITS","Sin clasificación",NA
"9988","CFMITAGLIT","FONDO MUTUO ITAU ESG GLOBAL CREDITS","Sin clasificación",NA
"9987","CFMITAESF1","FONDO MUTUO ITAU ESG NORDEA EMERGING STARS","Sin clasificación",NA
"9987","CFMITAESF2","FONDO MUTUO ITAU ESG NORDEA EMERGING STARS","Sin clasificación",NA
"9987","CFMITAESF3","FONDO MUTUO ITAU ESG NORDEA EMERGING STARS","Sin clasificación",NA
"9987","CFMITAESIT","FONDO MUTUO ITAU ESG NORDEA EMERGING STARS","Sin clasificación",NA
"8971","CFMITAGEIT","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGEF1","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGEF3","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGEF4","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGEF2","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGESS","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8971","CFMITAGEF5","FONDO MUTUO ITAU GESTIONADO ACCIONES","Renta Variable",NA
"8993","CFMITAGAS2","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAF1","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAF2","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAF3","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAF5","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAF4","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAIT","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8993","CFMITAGAGS","FONDO MUTUO ITAU GESTIONADO AGRESIVO","Balanceados",NA
"8994","CFMITAGCF1","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGGS2","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCF2","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCF3","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCF5","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCF4","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCIT","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8994","CFMITAGCOS","FONDO MUTUO ITAU GESTIONADO CONSERVADOR","Balanceados",NA
"8992","CFMITAGMS2","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMF1","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMF2","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMF3","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMF4","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMF5","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMIT","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"8992","CFMITAGMOS","FONDO MUTUO ITAU GESTIONADO MODERADO","Balanceados",NA
"9931","CFMITAGBF1","FONDO MUTUO ITAU GLOBAL BRANDS","Renta Variable",NA
"9931","CFMITAGBF2","FONDO MUTUO ITAU GLOBAL BRANDS","Renta Variable",NA
"9931","CFMITAGBF3","FONDO MUTUO ITAU GLOBAL BRANDS","Renta Variable",NA
"9931","CFMITAGBIT","FONDO MUTUO ITAU GLOBAL BRANDS","Renta Variable",NA
"8254","CFMITALCF1","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCF6","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCF2","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCF4","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCF3","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCF5","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"8254","CFMITALCIT","FONDO MUTUO ITAU LATAM CORPORATE","Renta Fija",NA
"9935","CFMITACLF1","FONDO MUTUO ITAU MONEDA CREDITO LATAM","Sin clasificación",NA
"9935","CFMITACLF3","FONDO MUTUO ITAU MONEDA CREDITO LATAM","Sin clasificación",NA
"9935","CFMITACLF2","FONDO MUTUO ITAU MONEDA CREDITO LATAM","Sin clasificación",NA
"9935","CFMITACLIT","FONDO MUTUO ITAU MONEDA CREDITO LATAM","Sin clasificación",NA
"8305","CFMITANEIT","FONDO MUTUO ITAU NATIONAL EQUITY","Renta Variable",NA
"8305","CFMITANEQS","FONDO MUTUO ITAU NATIONAL EQUITY","Renta Variable",NA
"8305","CFMITANEF5","FONDO MUTUO ITAU NATIONAL EQUITY","Renta Variable",NA
"8305","CFMITANEF4","FONDO MUTUO ITAU NATIONAL EQUITY","Renta Variable",NA
"8305","CFMITANEAP","FONDO MUTUO ITAU NATIONAL EQUITY","Renta Variable",NA
"8092","CFMCOREFM1","FONDO MUTUO ITAU PERFORMANCE","Money Market",NA
"8092","CFMCOREFM2","FONDO MUTUO ITAU PERFORMANCE","Money Market",NA
"8092","CFMCOREFM3","FONDO MUTUO ITAU PERFORMANCE","Money Market",NA
"8092","CFMCOREFM5","FONDO MUTUO ITAU PERFORMANCE","Money Market",NA
"8092","CFMCOREFM4","FONDO MUTUO ITAU PERFORMANCE","Money Market",NA
"9834","CFMITARDF5","FONDO MUTUO ITAU RENTA DINAMICA GLOBAL","Renta Fija",NA
"9834","CFMITARDF4","FONDO MUTUO ITAU RENTA DINAMICA GLOBAL","Renta Fija",NA
"9834","CFMITARDIT","FONDO MUTUO ITAU RENTA DINAMICA GLOBAL","Renta Fija",NA
"8338","CFMITASEM5","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASEM1","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASEM3","FONDO MUTUO ITAU SELECT","Money Market",NA
"8338","CFMITASEM4","FONDO MUTUO ITAU SELECT","Money Market",NA
